,index,l,m,ans_r,err_r,ans_i,err_i
122,2,15,2,2.4020707552050367e-05,1.4823204856182495e-08,-1.6160793435987452e-05,1.4873943228053035e-08
123,3,15,3,-2.4613327034691446e-07,1.4786003713891222e-08,1.2036804084067923e-06,1.4611973272941921e-08
124,4,15,4,-4.158266963555078e-08,1.4181340141303177e-08,1.1120158311878412e-08,1.4472122335764027e-08
125,5,15,5,-5.223815673500083e-09,1.390120901557188e-08,1.8794409065567223e-08,1.4707722513134094e-08
126,6,15,6,-6.751361662799707e-10,1.3105958114344169e-08,-7.723749331673161e-10,1.3846472133046549e-08
127,7,15,7,-1.7536698046569404e-11,1.1202848956026523e-09,6.8976460874344625e-12,1.0831023040756525e-09
128,8,15,8,-4.907799425085704e-12,6.851697907300441e-11,2.8359514130328e-12,8.47558933534573e-11
129,9,15,9,6.667157333839557e-13,6.693439724396046e-12,2.0099385960550992e-13,5.0954271030791336e-12
130,10,15,10,1.879198747723922e-14,4.1845353711236145e-13,-3.0950692599041476e-14,6.236667760302066e-13
131,11,15,11,-1.6159952172945316e-15,5.199527393054361e-14,3.4322168905141623e-16,4.272990312435358e-14
132,12,15,12,-8.633228552894393e-17,4.4608149027687344e-15,3.98310117155794e-17,4.3751585145309245e-15
133,13,15,13,5.369083022522104e-17,4.594975387550286e-16,-2.9736485469135194e-17,6.546300680642907e-16
134,14,15,14,5.2267770584807775e-18,1.3493792906159491e-16,-9.78592245893036e-19,6.361203589915553e-17
135,15,15,15,1.1712639248306798e-18,1.023961672442162e-17,-1.680963658970937e-19,1.592877908159183e-17
